iter	RMSE
0	15.00447781
1	14.6449975
2	14.26009684
3	13.9103224
4	13.59658846
5	13.2585273
6	12.9606665
7	12.66097919
8	12.34639465
9	12.09253179
10	11.8365377
11	11.56797739
12	11.31138333
13	11.08400003
14	10.85405067
15	10.61657406
16	10.42935505
17	10.24011703
18	10.05247281
19	9.854230627
20	9.650587698
21	9.485539729
22	9.316012201
23	9.160172537
24	8.994084994
25	8.88697217
26	8.738744645
27	8.619765845
28	8.46730935
29	8.351678753
30	8.234688842
31	8.114574618
32	7.994096246
33	7.879243583
34	7.780707111
35	7.679071825
36	7.590374378
37	7.494869023
38	7.411170534
39	7.314850284
40	7.22878303
41	7.144976903
42	7.074888827
43	7.011288089
44	6.955762821
45	6.881814034
46	6.832657937
47	6.765543687
48	6.701327801
49	6.651914963
50	6.598050872
51	6.543956428
52	6.481553206
53	6.436395166
54	6.380110594
55	6.33020221
56	6.287735061
57	6.246469941
58	6.216572681
59	6.180463789
60	6.14764317
61	6.106964017
62	6.073090097
63	6.041927107
64	6.011700519
65	5.981010061
66	5.949894816
67	5.928864567
68	5.901934776
69	5.876680263
70	5.849395308
71	5.826802449
72	5.802059827
73	5.777070873
74	5.757791407
75	5.735859535
76	5.716477841
77	5.700641713
78	5.681778117
79	5.67075511
80	5.654683572
81	5.637190566
82	5.622711374
83	5.609893676
84	5.598509403
85	5.580474682
86	5.566107887
87	5.552611699
88	5.543546934
89	5.533480409
90	5.5177093
91	5.506688504
92	5.497980284
93	5.485640965
94	5.473459034
95	5.464570381
96	5.455153134
97	5.43876718
98	5.426403017
99	5.414022166
100	5.399477049
101	5.38824398
102	5.377163356
103	5.371817371
104	5.360714173
105	5.349619616
106	5.33573374
107	5.327868653
108	5.323002302
109	5.315364263
110	5.308219672
111	5.302308844
112	5.294085519
113	5.288849598
114	5.281143478
115	5.272511395
116	5.267246519
117	5.261610772
118	5.255633592
119	5.251274924
120	5.24229095
121	5.236324576
122	5.234710239
123	5.229466925
124	5.221596794
125	5.216508219
126	5.213163221
127	5.205444177
128	5.200845487
129	5.194161882
130	5.187690316
131	5.182274629
132	5.178498063
133	5.171429938
134	5.165695797
135	5.160015216
136	5.154601409
137	5.150839652
138	5.14668425
139	5.141874075
140	5.139162737
141	5.135533296
142	5.130042666
143	5.124076327
144	5.118360227
145	5.112695154
146	5.111171334
147	5.107146599
148	5.100972546
149	5.094130347
150	5.085402369
151	5.080899315
152	5.078580045
153	5.07208314
154	5.068004493
155	5.05931579
156	5.057659952
157	5.05386146
158	5.048167478
159	5.042362136
160	5.040949977
161	5.038361207
162	5.036774762
163	5.033191751
164	5.027910437
165	5.021981368
166	5.018617271
167	5.01512818
168	5.010705657
169	5.006223003
170	5.004391838
171	5.002217482
172	4.998242399
173	4.99403958
174	4.990694705
175	4.985916989
176	4.981512988
177	4.978035171
178	4.974176686
179	4.968998565
180	4.966244398
181	4.963389863
182	4.961686527
183	4.958103852
184	4.954079483
185	4.950743215
186	4.946939214
187	4.940235144
188	4.937021328
189	4.928592202
190	4.924274998
191	4.919418881
192	4.913392692
193	4.908678894
194	4.907374068
195	4.904667441
196	4.902046988
197	4.894669375
198	4.887981107
199	4.884237501
200	4.880595418
201	4.875153197
202	4.872914227
203	4.866965085
204	4.859643343
205	4.856293293
206	4.85093501
207	4.846634251
208	4.844011565
209	4.839802781
210	4.833544552
211	4.83020881
212	4.828060375
213	4.826731468
214	4.821688473
215	4.820979107
216	4.815538033
217	4.814769925
218	4.811526371
219	4.805615913
220	4.80204334
221	4.800630741
222	4.794508081
223	4.791642386
224	4.788127188
225	4.78393085
226	4.779577912
227	4.775912356
228	4.773459821
229	4.769661111
230	4.765833337
231	4.764501736
232	4.761544753
233	4.760047682
234	4.752349476
235	4.74840363
236	4.745926686
237	4.741621174
238	4.740102871
239	4.738755839
240	4.736421628
241	4.733832813
242	4.730373364
243	4.72904652
244	4.722926564
245	4.721770596
246	4.720569189
247	4.718424851
248	4.711440913
249	4.709672771
250	4.705179739
251	4.703500017
252	4.695931066
253	4.689869548
254	4.685190173
255	4.681984381
256	4.678852237
257	4.678376172
258	4.674676828
259	4.671267809
260	4.670377958
261	4.667437294
262	4.663344081
263	4.662814387
264	4.656414295
265	4.65606112
266	4.650772175
267	4.647887614
268	4.644400567
269	4.643709374
270	4.63914454
271	4.636391936
272	4.63097673
273	4.629409928
274	4.622236559
275	4.618519254
276	4.614965826
277	4.611223971
278	4.60889255
279	4.606680779
280	4.604665176
281	4.602616905
282	4.599767094
283	4.59847591
284	4.594139299
285	4.589942863
286	4.58722403
287	4.582229258
288	4.579694703
289	4.573428167
290	4.57153192
291	4.570908641
292	4.567683353
293	4.560170556
294	4.5575031
295	4.552335659
296	4.548624487
297	4.547401447
298	4.544595496
299	4.539638588
300	4.535753351
301	4.533970742
302	4.530338883
303	4.525798935
304	4.521824331
305	4.517934218
306	4.514293186
307	4.514160246
308	4.511789271
309	4.509959329
310	4.506915206
311	4.500432228
312	4.498751789
313	4.495268739
314	4.491594635
315	4.488365604
316	4.482285383
317	4.479355801
318	4.477608327
319	4.473205924
320	4.470456668
321	4.466918144
322	4.46587222
323	4.4631355
324	4.460594682
325	4.460183819
326	4.454742141
327	4.454470549
328	4.451694118
329	4.451383424
330	4.445426791
331	4.441144564
332	4.436586341
333	4.433357686
334	4.427502925
335	4.425895475
336	4.425646023
337	4.421189545
338	4.420829913
339	4.41887426
340	4.414890766
341	4.412670673
342	4.40719297
343	4.404712851
344	4.402700532
345	4.3981696
346	4.395312061
347	4.392486786
348	4.391922072
349	4.390538052
350	4.385406398
351	4.384501141
352	4.381527642
353	4.380763593
354	4.378873053
355	4.376345314
356	4.371007603
357	4.368811573
358	4.366046091
359	4.361794992
360	4.361516751
361	4.358475343
362	4.356514374
363	4.354145543
364	4.352002043
365	4.347574619
366	4.342081527
367	4.341794189
368	4.336439205
369	4.331935464
370	4.326875392
371	4.324624006
372	4.322462777
373	4.318747297
374	4.31591669
375	4.31327415
376	4.309667166
377	4.30465025
378	4.299458844
379	4.298699805
380	4.297809876
381	4.291165887
382	4.290906711
383	4.290668773
384	4.290387016
385	4.289321471
386	4.286573046
387	4.283962213
388	4.279450241
389	4.277291341
390	4.274675534
391	4.272451718
392	4.270636703
393	4.268398696
394	4.263277529
395	4.261664411
396	4.257701894
397	4.256882704
398	4.251816366
399	4.249451525
400	4.247315497
401	4.242861352
402	4.237513937
403	4.231777013
404	4.226376633
405	4.224647803
406	4.223115915
407	4.222826675
408	4.221050352
409	4.21931873
410	4.212921888
411	4.208202363
412	4.207925583
413	4.204682395
414	4.20171097
415	4.199988709
416	4.196239212
417	4.194876669
418	4.188902912
419	4.186460964
420	4.18173378
421	4.178140251
422	4.175190648
423	4.173366552
424	4.168974835
425	4.166134972
426	4.162867305
427	4.160357331
428	4.157032942
429	4.154583557
430	4.154054913
431	4.148351398
432	4.145824286
433	4.142600205
434	4.138365144
435	4.13474599
436	4.132552106
437	4.1292811
438	4.127436265
439	4.124168925
440	4.12334017
441	4.120587161
442	4.1196034
443	4.117239999
